step,epoch,train/recon_error,train/loss,val/recon_error,val/loss
49,0,1.0338561534881592,2.3705973625183105,,
99,0,0.7635036110877991,2.297896146774292,,
149,0,0.4655925929546356,2.4200279712677,,
186,0,,,0.8732414841651917,15.853620529174805
199,1,0.313763827085495,2.6174230575561523,,
249,1,0.27431660890579224,2.9584922790527344,,
299,1,0.2306024134159088,3.083772897720337,,
349,1,0.20979754626750946,3.0930850505828857,,
373,1,,,0.7387769818305969,13.433966636657715
399,2,0.20799095928668976,3.140815496444702,,
449,2,0.19880267977714539,3.19987154006958,,
499,2,0.21475371718406677,3.231052875518799,,
549,2,0.21978960931301117,3.356966257095337,,
560,2,,,0.7147364616394043,13.747069358825684
599,3,0.21676065027713776,3.7351715564727783,,
649,3,0.2111741602420807,3.863027572631836,,
699,3,0.17998091876506805,4.139739513397217,,
747,3,,,0.675143301486969,21.015636444091797
749,4,0.1763109713792801,4.180509090423584,,
799,4,0.1975843757390976,4.864773273468018,,
849,4,0.19617702066898346,5.093618392944336,,
899,4,0.16917964816093445,4.2211594581604,,
934,4,,,0.4707239866256714,23.534238815307617
949,5,0.17189116775989532,5.307223796844482,,
999,5,0.17393004894256592,4.271238803863525,,
1049,5,0.16689780354499817,5.6244730949401855,,
1099,5,0.18793441355228424,6.094475269317627,,
1121,5,,,0.4187924265861511,22.53081512451172
1149,6,0.1679946482181549,5.735569953918457,,
1199,6,0.1376565843820572,4.758198261260986,,
1249,6,0.13557279109954834,5.2529144287109375,,
1299,6,0.13461436331272125,5.272792816162109,,
1308,6,,,0.4560202956199646,23.418983459472656
1349,7,0.15304800868034363,5.931959629058838,,
1399,7,0.16232798993587494,6.913100242614746,,
1449,7,0.13097251951694489,5.492340087890625,,
1495,7,,,0.5270523428916931,26.85355567932129
1499,8,0.1423565000295639,5.731290817260742,,
1549,8,0.15455873310565948,5.70320987701416,,
1599,8,0.13706769049167633,6.071645736694336,,
1649,8,0.12024923413991928,5.817546844482422,,
1682,8,,,0.5100632309913635,30.256208419799805
1699,9,0.15179239213466644,7.268011093139648,,
1749,9,0.15698668360710144,6.955742359161377,,
1799,9,0.14923349022865295,6.7834601402282715,,
1849,9,0.13061396777629852,6.829890727996826,,
1869,9,,,0.4829466640949249,31.148500442504883
1899,10,0.1434432417154312,7.0861287117004395,,
1949,10,0.15115883946418762,7.528564929962158,,
1999,10,0.13189004361629486,7.640771389007568,,
2049,10,0.12047645449638367,8.050232887268066,,
2056,10,,,0.4444082975387573,37.56303787231445
2099,11,0.13888870179653168,8.565781593322754,,
2149,11,0.13163018226623535,7.677170753479004,,
2199,11,0.1477377861738205,9.634376525878906,,
2243,11,,,0.395817369222641,34.307071685791016
