train/loss,epoch,train/recon_error,step,val/loss,val/recon_error
2.1782445907592773,0,1.0521100759506226,49,,
1.9347174167633057,0,0.7338111996650696,99,,
1.4857304096221924,0,0.387710839509964,149,,
,0,,189,8.690895080566406,0.8417088389396667
