step,train/recon_error,train/loss,epoch,val/recon_error,val/loss
49,1.0023316144943237,2.0321431159973145,0,,
99,0.6686116456985474,1.6165871620178223,0,,
149,0.41701823472976685,1.4397990703582764,0,,
188,,,0,0.7072721123695374,6.909426212310791
199,0.30907806754112244,1.3969614505767822,1,,
249,0.27931711077690125,1.335350751876831,1,,
