epoch,step,train/recon_error,train/loss,val/recon_error,val/loss
0,49,1.0668575763702393,2.0390279293060303,,
0,99,0.7628786563873291,1.644870400428772,,
0,149,0.45438411831855774,1.7290903329849243,,
0,181,,,1.0109052658081055,11.26878547668457
1,199,0.32440459728240967,1.995492935180664,,
1,249,0.2816108763217926,2.137336015701294,,
1,299,0.22771430015563965,2.0660200119018555,,
1,349,0.2327992171049118,2.159583806991577,,
1,363,,,0.49120163917541504,8.430824279785156
2,399,0.2331937700510025,2.0986194610595703,,
2,449,0.21973440051078796,2.0938336849212646,,
2,499,0.1969732642173767,1.9164178371429443,,
2,545,,,0.5291592478752136,9.036957740783691
3,549,0.21157029271125793,1.782148838043213,,
3,599,0.18657222390174866,1.7737925052642822,,
3,649,0.16577669978141785,1.4771205186843872,,
3,699,0.1762828528881073,1.6573734283447266,,
3,727,,,0.46140846610069275,6.720142364501953
4,749,0.16624704003334045,1.4575790166854858,,
4,799,0.1919972002506256,1.64536452293396,,
4,849,0.17210586369037628,1.318515419960022,,
4,899,0.16614650189876556,1.2688156366348267,,
4,909,,,0.35647451877593994,5.301440715789795
5,949,0.1591314822435379,1.1976457834243774,,
5,999,0.18239539861679077,1.4641406536102295,,
5,1049,0.16664545238018036,1.2114859819412231,,
5,1091,,,0.6220635771751404,7.07268762588501
6,1099,0.15294544398784637,1.0592142343521118,,
6,1149,0.15807956457138062,1.1440770626068115,,
6,1199,0.15453730523586273,1.3420923948287964,,
6,1249,0.1688276082277298,1.6424156427383423,,
6,1273,,,0.5591586232185364,5.469123363494873
7,1299,0.13846999406814575,1.34089994430542,,
7,1349,0.14191965758800507,1.372315526008606,,
7,1399,0.16462431848049164,1.2503020763397217,,
7,1449,0.13794101774692535,1.4750707149505615,,
7,1455,,,0.6129413843154907,9.224944114685059
8,1499,0.1417396515607834,1.5531346797943115,,
8,1549,0.1289011538028717,1.259964942932129,,
8,1599,0.15545696020126343,1.556297779083252,,
8,1637,,,0.6426221132278442,6.46900749206543
9,1649,0.14693580567836761,1.5292912721633911,,
9,1699,0.13320708274841309,1.3145450353622437,,
9,1749,0.1418738216161728,1.1438603401184082,,
9,1799,0.12561532855033875,1.0633214712142944,,
9,1819,,,0.6183241009712219,5.809304237365723
10,1849,0.13228869438171387,1.233343482017517,,
10,1899,0.12166473269462585,1.0363692045211792,,
10,1949,0.12361996620893478,1.1586824655532837,,
10,1999,0.11260892450809479,1.052642822265625,,
10,2001,,,0.5095376372337341,4.833975791931152
11,2049,0.1284988522529602,0.9486469626426697,,
11,2099,0.11559762805700302,1.04399836063385,,
11,2149,0.12397120147943497,1.015580177307129,,
11,2183,,,0.4390050768852234,4.253774642944336
12,2199,0.12720248103141785,1.118090033531189,,
12,2249,0.12216118723154068,1.0546858310699463,,
12,2299,0.11564338207244873,1.010728120803833,,
12,2349,0.10950524359941483,0.7984828948974609,,
12,2365,,,0.4733140170574188,4.6312689781188965
13,2399,0.10625867545604706,1.013383388519287,,
13,2449,0.11347737163305283,0.801796019077301,,
13,2499,0.11518026143312454,0.911505401134491,,
13,2547,,,0.5313204526901245,4.785533905029297
14,2549,0.10788997262716293,0.8467797636985779,,
14,2599,0.1218314915895462,0.9921844601631165,,
14,2649,0.10004889965057373,0.6197661757469177,,
14,2699,0.11364781856536865,0.75327068567276,,
14,2729,,,0.42676112055778503,3.0635035037994385
15,2749,0.11033570766448975,0.7779799103736877,,
15,2799,0.10964911431074142,0.68633633852005,,
15,2849,0.11408357322216034,0.7593360543251038,,
15,2899,0.13126474618911743,0.86888188123703,,
15,2911,,,0.49801552295684814,3.3443896770477295
16,2949,0.1179678812623024,0.74826979637146,,
16,2999,0.1256655901670456,0.7247312664985657,,
16,3049,0.11554201692342758,0.7230680584907532,,
16,3093,,,0.4781915545463562,3.0838451385498047
17,3099,0.10130178183317184,0.6243271231651306,,
17,3149,0.10109987109899521,0.6544831991195679,,
17,3199,0.11286788433790207,0.8048373460769653,,
17,3249,0.10371923446655273,0.9936506152153015,,
17,3275,,,0.4635204076766968,3.977632761001587
18,3299,0.11701423674821854,1.016067624092102,,
18,3349,0.12558728456497192,1.1708476543426514,,
18,3399,0.11703386157751083,0.6927719116210938,,
18,3449,0.10119891166687012,0.7093722820281982,,
18,3457,,,0.3650079071521759,3.891072988510132
19,3499,0.11310407519340515,0.6554663181304932,,
19,3549,0.09857948124408722,0.6929439902305603,,
19,3599,0.09896998107433319,1.1655806303024292,,
19,3639,,,0.420574814081192,3.921492099761963
