epoch,step,train/recon_error,train/loss,val/recon_error,val/loss
0,49,0.9675896763801575,2.2109901905059814,,
0,99,0.6819221377372742,2.22070050239563,,
0,149,0.5600290894508362,2.9616858959198,,
0,182,,,0.6965669393539429,30.060834884643555
1,199,0.4366615116596222,3.5683979988098145,,
1,249,0.4163185656070709,4.357924938201904,,
1,299,0.4588873088359833,4.910346984863281,,
1,349,0.38980409502983093,6.036180019378662,,
1,365,,,0.6624146103858948,38.11354446411133
2,399,0.32965385913848877,7.763484001159668,,
2,449,0.31160473823547363,9.526839256286621,,
2,499,0.34160125255584717,11.186653137207031,,
2,548,,,0.6872653365135193,49.93655776977539
3,549,0.31464746594429016,12.984148979187012,,
3,599,0.2571680247783661,15.0848388671875,,
3,649,0.2566748261451721,17.662904739379883,,
3,699,0.24431970715522766,18.952648162841797,,
3,731,,,0.7671660780906677,53.128936767578125
4,749,0.23481051623821259,20.877656936645508,,
4,799,0.2159523218870163,21.75186538696289,,
4,849,0.21228308975696564,22.358522415161133,,
4,899,0.1956390142440796,24.430130004882812,,
4,914,,,0.4860559403896332,60.90165710449219
5,949,0.1907837837934494,25.019575119018555,,
5,999,0.1926129311323166,25.258678436279297,,
5,1049,0.21545065939426422,26.613746643066406,,
5,1097,,,0.550371527671814,80.4723129272461
6,1099,0.20527298748493195,30.165678024291992,,
6,1149,0.21726535260677338,28.989709854125977,,
6,1199,0.18258388340473175,30.82044792175293,,
6,1249,0.17815595865249634,34.80224609375,,
6,1280,,,0.6232154369354248,131.63168334960938
7,1299,0.18980015814304352,36.421363830566406,,
7,1349,0.18165820837020874,39.23658752441406,,
7,1399,0.18467243015766144,40.97344970703125,,
7,1449,0.184798464179039,45.868614196777344,,
7,1463,,,0.4014299809932709,230.9551544189453
8,1499,0.17697302997112274,50.753177642822266,,
8,1549,0.1864100992679596,50.12117004394531,,
8,1599,0.18177445232868195,59.22005081176758,,
8,1646,,,0.3391420841217041,253.30084228515625
9,1649,0.18971146643161774,64.53450775146484,,
9,1699,0.17300650477409363,68.22687530517578,,
9,1749,0.17299970984458923,73.71643829345703,,
9,1799,0.1735188513994217,78.61348724365234,,
9,1829,,,0.36494383215904236,384.79095458984375
10,1849,0.17725825309753418,84.80731201171875,,
10,1899,0.1802452802658081,93.69242095947266,,
10,1949,0.18884627521038055,95.33293151855469,,
10,1999,0.1634148806333542,101.93768310546875,,
10,2012,,,0.21477927267551422,536.956298828125
