step,epoch,train/recon_error,train/loss,val/recon_error,val/loss
49,0,0.9716309905052185,2.0791189670562744,,
99,0,0.6579104661941528,1.934041976928711,,
149,0,0.5184836983680725,2.033663034439087,,
180,0,,,0.8680837154388428,16.83428382873535
199,1,0.41900402307510376,2.1920900344848633,,
249,1,0.37172308564186096,2.5405614376068115,,
299,1,0.32820576429367065,3.2410500049591064,,
349,1,0.281341552734375,4.092125415802002,,
361,1,,,0.8358527421951294,34.12246322631836
399,2,0.2581323981285095,4.97174596786499,,
449,2,0.24533778429031372,5.840078353881836,,
499,2,0.23017217218875885,6.9723334312438965,,
542,2,,,0.7034607529640198,48.21831130981445
549,3,0.22220590710639954,8.822848320007324,,
599,3,0.21212409436702728,10.05772590637207,,
649,3,0.21353691816329956,11.78049087524414,,
699,3,0.21462313830852509,13.581950187683105,,
723,3,,,0.7642641067504883,73.4754638671875
749,4,0.19457247853279114,16.493574142456055,,
799,4,0.1860264092683792,19.492713928222656,,
849,4,0.18700076639652252,20.00753402709961,,
899,4,0.17959439754486084,22.58503532409668,,
904,4,,,0.7991948127746582,115.12098693847656
949,5,0.21230201423168182,25.591957092285156,,
999,5,0.175454780459404,24.847579956054688,,
1049,5,0.2217647284269333,28.146257400512695,,
1085,5,,,0.6215507388114929,180.10032653808594
1099,6,0.17075465619564056,27.95415496826172,,
1149,6,0.18614661693572998,31.42664909362793,,
1199,6,0.1751244068145752,35.6545295715332,,
1249,6,0.17114129662513733,32.382102966308594,,
1266,6,,,0.4614156484603882,276.94189453125
1299,7,0.1640804260969162,36.67306900024414,,
1349,7,0.16324672102928162,38.97063446044922,,
1399,7,0.17279495298862457,42.970603942871094,,
1447,7,,,0.4070168733596802,383.79449462890625
1449,8,0.14280986785888672,43.253360748291016,,
1499,8,0.15885402262210846,45.572086334228516,,
1549,8,0.16325804591178894,48.19284439086914,,
1599,8,0.17572417855262756,52.21683883666992,,
1628,8,,,0.3577713668346405,485.246826171875
1649,9,0.18468065559864044,54.144737243652344,,
1699,9,0.15627416968345642,53.74509048461914,,
1749,9,0.16074012219905853,56.737449645996094,,
1799,9,0.15110310912132263,57.59403991699219,,
1809,9,,,0.35915008187294006,568.3731079101562
