step,epoch,train/recon_error,train/loss,val/recon_error,val/loss
49,0,1.0434800386428833,2.019472599029541,,
99,0,0.6908569931983948,1.7266149520874023,,
149,0,0.4180850088596344,1.6359823942184448,,
185,0,,,0.728529155254364,4.747241020202637
199,1,0.3068064749240875,1.62398099899292,,
249,1,0.2803933620452881,1.7170205116271973,,
299,1,0.24901001155376434,1.549861192703247,,
349,1,0.21816356480121613,1.2638800144195557,,
371,1,,,0.6922234892845154,4.844997882843018
399,2,0.20551538467407227,1.2234364748001099,,
449,2,0.20514845848083496,1.1425085067749023,,
499,2,0.19234271347522736,1.1029329299926758,,
549,2,0.2037813514471054,1.1258066892623901,,
557,2,,,0.6664126515388489,5.240816116333008
599,3,0.21549348533153534,1.1074999570846558,,
649,3,0.18005485832691193,0.9933947324752808,,
699,3,0.2033928632736206,1.160374402999878,,
743,3,,,0.5517144799232483,6.110055446624756
749,4,0.17213760316371918,1.0581450462341309,,
799,4,0.16884292662143707,1.0947990417480469,,
849,4,0.16625690460205078,1.0645346641540527,,
899,4,0.1697637140750885,1.0126839876174927,,
929,4,,,0.5751928687095642,5.046473979949951
949,5,0.15520235896110535,1.0775552988052368,,
999,5,0.16943244636058807,1.0185837745666504,,
1049,5,0.14745378494262695,0.9336363673210144,,
1099,5,0.1532491147518158,0.9373048543930054,,
1115,5,,,0.5294433832168579,3.605968475341797
1149,6,0.15162532031536102,0.9527419805526733,,
1199,6,0.12430521100759506,0.9037727117538452,,
1249,6,0.1333610713481903,0.8470771312713623,,
1299,6,0.15235528349876404,0.890689492225647,,
1301,6,,,0.5714845657348633,3.530278444290161
1349,7,0.15024206042289734,0.905514121055603,,
1399,7,0.1332090198993683,0.8952106237411499,,
1449,7,0.1275409609079361,0.8688239455223083,,
1487,7,,,0.4719204008579254,3.8499820232391357
1499,8,0.12837563455104828,0.8628472089767456,,
1549,8,0.13132555782794952,0.805047333240509,,
1599,8,0.1317725032567978,0.8281857967376709,,
1649,8,0.14104631543159485,0.7871896028518677,,
1673,8,,,0.5382766723632812,2.6813740730285645
1699,9,0.12983182072639465,0.7285534143447876,,
1749,9,0.11603202670812607,0.6943280100822449,,
1799,9,0.12652276456356049,0.658290445804596,,
1849,9,0.11781278252601624,0.712934136390686,,
1859,9,,,0.5272372364997864,2.564713716506958
