epoch,train/loss,step,train/recon_error,val/loss,val/recon_error
0,2.2938551902770996,49,1.0544040203094482,,
0,1.8386890888214111,99,0.7087929844856262,,
0,1.3365530967712402,149,0.3868662118911743,,
0,,158,,7.545490741729736,0.48906204104423523
