epoch,step,train/recon_error,train/loss,val/recon_error,val/loss
0,49,0.9993163347244263,2.260054588317871,,
0,99,0.6913548111915588,2.2235848903656006,,
0,149,0.5630435943603516,2.7187345027923584,,
0,184,,,0.9199922680854797,12.506967544555664
1,199,0.3885652720928192,3.1590592861175537,,
1,249,0.34133583307266235,4.129554748535156,,
1,299,0.2777380645275116,5.138824939727783,,
1,349,0.2575143575668335,6.112884998321533,,
1,369,,,1.1636103391647339,14.73271656036377
2,399,0.21201525628566742,6.690096855163574,,
2,449,0.2300810068845749,7.7126898765563965,,
2,499,0.27773740887641907,8.791051864624023,,
2,549,0.22547879815101624,9.470983505249023,,
2,554,,,1.2249988317489624,24.58757781982422
3,599,0.24213725328445435,10.96645736694336,,
3,649,0.23654361069202423,11.486896514892578,,
3,699,0.22749213874340057,13.189238548278809,,
3,739,,,1.0275065898895264,47.07268524169922
4,749,0.20575778186321259,14.125393867492676,,
4,799,0.25071269273757935,16.719024658203125,,
4,849,0.23368026316165924,16.843883514404297,,
4,899,0.18866464495658875,18.986799240112305,,
4,924,,,0.7595270872116089,56.4099235534668
5,949,0.22270046174526215,21.23845863342285,,
5,999,0.20981693267822266,24.082901000976562,,
5,1049,0.22348201274871826,25.505327224731445,,
5,1099,0.22358886897563934,26.535066604614258,,
5,1109,,,0.8860169649124146,86.78697967529297
6,1149,0.2100154459476471,26.4375057220459,,
6,1199,0.20967571437358856,31.16520118713379,,
6,1249,0.20226290822029114,29.920700073242188,,
6,1294,,,0.705122172832489,119.90319061279297
7,1299,0.18582983314990997,34.8171501159668,,
7,1349,0.22652366757392883,36.66929626464844,,
7,1399,0.22482948005199432,43.09013748168945,,
7,1449,0.20589551329612732,46.134124755859375,,
7,1479,,,0.7606218457221985,161.68589782714844
8,1499,0.18205657601356506,48.50413131713867,,
8,1549,0.21750567853450775,49.936668395996094,,
8,1599,0.20301011204719543,54.558197021484375,,
8,1649,0.20983603596687317,61.71037673950195,,
8,1664,,,0.5881441831588745,209.77935791015625
9,1699,0.20387516915798187,59.68568801879883,,
9,1749,0.21747678518295288,70.61051940917969,,
9,1799,0.2000509351491928,63.065921783447266,,
9,1849,0.18355318903923035,62.196250915527344,,
9,1849,,,0.7348986268043518,440.51348876953125
