epoch,step,train/recon_error,train/loss,val/recon_error,val/loss
0,49,1.064625859260559,1.9770047664642334,,
0,99,0.835497260093689,1.750272512435913,,
0,149,0.5708878040313721,1.679348349571228,,
0,187,,,0.2933172881603241,5.854354381561279
1,199,0.4067703187465668,1.6967955827713013,,
1,249,0.34252649545669556,1.8585350513458252,,
1,299,0.30241289734840393,2.024203062057495,,
1,349,0.26078400015830994,2.0864179134368896,,
1,375,,,0.17533813416957855,7.808043479919434
2,399,0.27229559421539307,2.4061331748962402,,
2,449,0.25639185309410095,2.3592634201049805,,
2,499,0.23980505764484406,2.2733712196350098,,
2,549,0.22390790283679962,2.3116304874420166,,
2,563,,,0.15920895338058472,8.02872371673584
3,599,0.22637976706027985,2.30550217628479,,
3,649,0.19327588379383087,2.15445613861084,,
3,699,0.1853225976228714,2.1667604446411133,,
3,749,0.19746507704257965,2.316344738006592,,
3,751,,,0.20913860201835632,11.830333709716797
4,799,0.19769975543022156,2.501027822494507,,
4,849,0.17058555781841278,2.1526553630828857,,
4,899,0.17276397347450256,2.3233466148376465,,
4,939,,,0.2173459827899933,10.071435928344727
5,949,0.17269837856292725,2.197075843811035,,
5,999,0.2005503922700882,2.471400260925293,,
5,1049,0.18211786448955536,2.0788962841033936,,
5,1099,0.16223697364330292,2.042562484741211,,
5,1127,,,0.2010757178068161,7.155174732208252
6,1149,0.17351821064949036,2.1436524391174316,,
6,1199,0.15687696635723114,1.775107741355896,,
6,1249,0.156106099486351,1.7066314220428467,,
6,1299,0.158133864402771,1.6876236200332642,,
6,1315,,,0.17344987392425537,3.956284523010254
7,1349,0.14704063534736633,1.4813026189804077,,
7,1399,0.16440220177173615,1.4419461488723755,,
7,1449,0.1397167444229126,1.6257539987564087,,
7,1499,0.14771373569965363,1.3549124002456665,,
7,1503,,,0.19306698441505432,4.365480899810791
8,1549,0.14117884635925293,1.2833051681518555,,
8,1599,0.15366998314857483,1.2402501106262207,,
8,1649,0.13057935237884521,1.1100428104400635,,
8,1691,,,0.21568359434604645,3.271632432937622
9,1699,0.1304241418838501,1.0252151489257812,,
9,1749,0.15570765733718872,1.2151830196380615,,
9,1799,0.11665834486484528,1.0031442642211914,,
9,1849,0.13615575432777405,0.9776086807250977,,
9,1879,,,0.2154192328453064,3.2599589824676514
