step,epoch,train/recon_error,train/loss,val/recon_error,val/loss
49,0,1.0735538005828857,2.0377731323242188,,
99,0,0.8192969560623169,1.918155312538147,,
149,0,0.48902204632759094,1.8458715677261353,,
188,0,,,0.541101336479187,7.174345970153809
199,1,0.3088473379611969,1.888511061668396,,
249,1,0.26814699172973633,2.0888800621032715,,
299,1,0.2615242600440979,2.2269582748413086,,
349,1,0.294515997171402,2.513291597366333,,
377,1,,,0.5591593980789185,9.34985637664795
399,2,0.24791140854358673,2.3155250549316406,,
449,2,0.20774509012699127,2.2220139503479004,,
499,2,0.21625547111034393,2.2413222789764404,,
549,2,0.21105091273784637,2.1414144039154053,,
566,2,,,0.5776562690734863,9.833929061889648
599,3,0.19505901634693146,1.9258912801742554,,
649,3,0.18479956686496735,1.7380352020263672,,
699,3,0.2120954841375351,1.9314377307891846,,
749,3,0.20803791284561157,1.8339908123016357,,
755,3,,,0.5218026638031006,7.7147064208984375
799,4,0.2008104920387268,1.5498006343841553,,
849,4,0.17936751246452332,1.4812089204788208,,
899,4,0.20551222562789917,1.5604829788208008,,
944,4,,,0.5378689169883728,8.556193351745605
949,5,0.19389744102954865,1.4968225955963135,,
999,5,0.16714109480381012,1.3207992315292358,,
1049,5,0.18430842459201813,1.3885551691055298,,
1099,5,0.16433855891227722,1.3174819946289062,,
1133,5,,,0.49904924631118774,7.308120250701904
1149,6,0.173944890499115,1.4035303592681885,,
1199,6,0.15977951884269714,1.436490535736084,,
1249,6,0.1829053908586502,1.4390513896942139,,
1299,6,0.13820849359035492,1.4186292886734009,,
1322,6,,,0.4837503135204315,5.767577648162842
1349,7,0.16435199975967407,1.36775803565979,,
1399,7,0.1615227907896042,1.406103253364563,,
1449,7,0.1436748057603836,1.3742167949676514,,
1499,7,0.13688716292381287,1.2548671960830688,,
1511,7,,,0.5128526091575623,5.684625148773193
1549,8,0.14384423196315765,1.3811463117599487,,
1599,8,0.1447577327489853,1.3158624172210693,,
1649,8,0.13895469903945923,1.3178308010101318,,
1699,8,0.1538354605436325,1.4418866634368896,,
1700,8,,,0.5158476233482361,6.7928385734558105
1749,9,0.12794509530067444,1.403688669204712,,
1799,9,0.1370108723640442,1.4515924453735352,,
1849,9,0.13624684512615204,1.345127820968628,,
1889,9,,,0.5713107585906982,5.213429927825928
1899,10,0.13623537123203278,1.412973403930664,,
1949,10,0.1281374841928482,1.4574517011642456,,
1999,10,0.13979624211788177,1.402048945426941,,
2049,10,0.14056934416294098,1.2792836427688599,,
2078,10,,,0.3432491719722748,4.402872562408447
2099,11,0.14678849279880524,1.2543833255767822,,
2149,11,0.13430200517177582,1.2074968814849854,,
2199,11,0.12416909635066986,1.206256628036499,,
2249,11,0.1060689315199852,1.0734859704971313,,
2267,11,,,0.438059002161026,3.220332145690918
2299,12,0.1331959068775177,1.23287034034729,,
2349,12,0.1065865308046341,0.9555620551109314,,
2399,12,0.09972278028726578,0.9425638914108276,,
2449,12,0.12297879904508591,0.9154888987541199,,
2456,12,,,0.4982958436012268,3.0009899139404297
2499,13,0.10909667611122131,0.9472841024398804,,
2549,13,0.12065799534320831,0.8967963457107544,,
2599,13,0.1114828884601593,0.826583743095398,,
2645,13,,,0.5830733776092529,3.2762131690979004
2649,14,0.11720198392868042,0.8370183110237122,,
2699,14,0.11619481444358826,0.814194917678833,,
2749,14,0.11475236713886261,0.7421444654464722,,
2799,14,0.12281409651041031,0.9241455793380737,,
2834,14,,,0.5049121379852295,2.7083287239074707
2849,15,0.12844571471214294,0.7201091051101685,,
2899,15,0.10440299659967422,0.7300780415534973,,
2949,15,0.11830180138349533,0.8982183337211609,,
2999,15,0.11578651517629623,0.7742973566055298,,
3023,15,,,0.3257882297039032,2.3807713985443115
3049,16,0.1290731430053711,0.8417651653289795,,
3099,16,0.11338964104652405,0.9515326023101807,,
3149,16,0.09768503904342651,0.7673079967498779,,
3199,16,0.10357276350259781,0.8307121396064758,,
3212,16,,,0.4003683030605316,2.2598490715026855
3249,17,0.09950856119394302,0.9599229693412781,,
3299,17,0.11086627840995789,0.788963794708252,,
3349,17,0.11614558845758438,0.6027321219444275,,
3399,17,0.11260084807872772,0.8798107504844666,,
3401,17,,,0.28126296401023865,1.9240297079086304
3449,18,0.11159181594848633,0.8230417370796204,,
3499,18,0.13472549617290497,0.7216511964797974,,
3549,18,0.11815905570983887,0.606147050857544,,
3590,18,,,0.3259584307670593,2.281202554702759
3599,19,0.10429392755031586,0.5997335314750671,,
3649,19,0.10014837235212326,0.6984832882881165,,
3699,19,0.10384625196456909,0.5761973857879639,,
3749,19,0.10741513222455978,0.5689218044281006,,
3779,19,,,0.3195277750492096,2.784113645553589
3799,20,0.12189371138811111,0.7880147695541382,,
3849,20,0.12970688939094543,0.6489115953445435,,
3899,20,0.10655254870653152,0.5405293703079224,,
3949,20,0.09910867363214493,0.5261685848236084,,
3968,20,,,0.2845199704170227,1.8356354236602783
3999,21,0.10884923487901688,0.5930480360984802,,
4049,21,0.0923941433429718,0.5341622829437256,,
4099,21,0.1017691045999527,0.4967467188835144,,
4149,21,0.08550980687141418,0.5536601543426514,,
4157,21,,,0.2406678944826126,1.670870304107666
4199,22,0.09860849380493164,0.5661126375198364,,
4249,22,0.10091846436262131,0.4875953793525696,,
4299,22,0.09586591273546219,0.5074002742767334,,
4346,22,,,0.27751049399375916,1.9129891395568848
4349,23,0.10311205685138702,0.39265114068984985,,
4399,23,0.0970955416560173,0.4004390239715576,,
4449,23,0.09766964614391327,0.37435126304626465,,
4499,23,0.10088104009628296,0.45986199378967285,,
4535,23,,,0.22542695701122284,1.142744541168213
4549,24,0.08965112268924713,0.3742806315422058,,
4599,24,0.10456626862287521,0.423688143491745,,
4649,24,0.08665087819099426,0.4131988286972046,,
4699,24,0.09480713307857513,0.40338701009750366,,
4724,24,,,0.26949647068977356,1.3745101690292358
4749,25,0.10480564087629318,0.41039037704467773,,
4799,25,0.09365703165531158,0.4276736378669739,,
4849,25,0.10008683800697327,0.47041139006614685,,
4899,25,0.09823592007160187,0.450403094291687,,
4913,25,,,0.2432786226272583,1.5293424129486084
4949,26,0.0942622721195221,0.40398067235946655,,
4999,26,0.09103786945343018,0.4324961304664612,,
5049,26,0.1038748174905777,0.5020570755004883,,
5099,26,0.09043318778276443,0.3757771849632263,,
5102,26,,,0.24141763150691986,1.3295373916625977
5149,27,0.09801553189754486,0.5063753724098206,,
5199,27,0.09983159601688385,0.4637671709060669,,
5249,27,0.09646645933389664,0.5139869451522827,,
5291,27,,,0.2494778037071228,2.049898386001587
5299,28,0.09535666555166245,0.497450053691864,,
5349,28,0.09222599864006042,0.43696412444114685,,
5399,28,0.10219839215278625,0.530488133430481,,
5449,28,0.09844766557216644,0.5073234438896179,,
5480,28,,,0.2575167119503021,1.9272680282592773
5499,29,0.08985727280378342,0.46112990379333496,,
5549,29,0.10998128354549408,0.4616178870201111,,
5599,29,0.09913791716098785,0.5472517609596252,,
5649,29,0.1239275112748146,0.5769733190536499,,
5669,29,,,0.276650607585907,1.9193663597106934
