step,epoch,train/recon_error,train/loss,val/recon_error,val/loss
49,0,1.02613365650177,2.361128091812134,,
99,0,0.7875571846961975,2.24253511428833,,
149,0,0.559043288230896,2.428853988647461,,
185,0,,,0.7372605800628662,10.390283584594727
199,1,0.4056643843650818,3.236637592315674,,
249,1,0.3466641306877136,3.7144436836242676,,
299,1,0.31804364919662476,4.509972095489502,,
349,1,0.2926871180534363,5.311922550201416,,
371,1,,,0.9286171793937683,16.111160278320312
399,2,0.2591012418270111,5.876896381378174,,
449,2,0.23786711692810059,6.18132209777832,,
499,2,0.2267938107252121,7.08601713180542,,
549,2,0.23711733520030975,7.789321422576904,,
557,2,,,0.9612354636192322,24.709657669067383
599,3,0.21049387753009796,7.97291898727417,,
649,3,0.22387665510177612,8.146760940551758,,
699,3,0.18878670036792755,8.432489395141602,,
743,3,,,0.9252288937568665,34.258853912353516
749,4,0.1898600310087204,9.027189254760742,,
799,4,0.18501223623752594,9.359539031982422,,
849,4,0.19363705813884735,9.057099342346191,,
899,4,0.21408425271511078,9.641758918762207,,
929,4,,,0.7891344428062439,34.806068420410156
949,5,0.19217444956302643,9.611211776733398,,
999,5,0.18573935329914093,10.323697090148926,,
1049,5,0.19460538029670715,10.458741188049316,,
1099,5,0.15341521799564362,10.037633895874023,,
1115,5,,,0.7938058376312256,35.91019821166992
1149,6,0.15451619029045105,10.871597290039062,,
1199,6,0.182432621717453,11.908293724060059,,
1249,6,0.16504618525505066,10.752338409423828,,
1299,6,0.15785598754882812,11.483427047729492,,
1301,6,,,0.5906511545181274,46.466976165771484
1349,7,0.14931555092334747,10.665477752685547,,
1399,7,0.1587778776884079,12.676827430725098,,
1449,7,0.1552123725414276,13.534109115600586,,
1487,7,,,0.6844208836555481,48.20440673828125
1499,8,0.16244345903396606,13.590538024902344,,
1549,8,0.18429119884967804,14.246015548706055,,
1599,8,0.15965795516967773,14.069438934326172,,
1649,8,0.16532577574253082,13.443885803222656,,
1673,8,,,0.6921977400779724,51.6305046081543
1699,9,0.1500173658132553,12.691444396972656,,
1749,9,0.15144619345664978,14.770364761352539,,
1799,9,0.13822254538536072,12.445832252502441,,
1849,9,0.15267804265022278,14.046167373657227,,
1859,9,,,0.38492077589035034,43.266700744628906
