epoch,step,train/recon_error,train/loss,val/recon_error,val/loss
0,49,1.0315818786621094,2.3091323375701904,,
0,99,0.8013704419136047,2.25203537940979,,
0,149,0.4916999638080597,2.2778050899505615,,
0,187,,,0.5636671185493469,6.109148979187012
1,199,0.3645295202732086,2.555877447128296,,
1,249,0.3078884482383728,3.2186636924743652,,
1,299,0.2619088292121887,3.5877296924591064,,
1,349,0.2580794095993042,4.1885223388671875,,
1,375,,,0.4472554624080658,16.809003829956055
2,399,0.25132104754447937,4.8200507164001465,,
2,449,0.2227875292301178,5.470217227935791,,
2,499,0.2036319375038147,5.190405368804932,,
2,549,0.2089087963104248,5.641964912414551,,
2,563,,,0.47601085901260376,22.233182907104492
3,599,0.20216406881809235,6.3607892990112305,,
3,649,0.22817069292068481,6.995659351348877,,
3,699,0.19767485558986664,6.678322792053223,,
3,749,0.16983242332935333,6.739312171936035,,
3,751,,,0.6108111143112183,25.240415573120117
4,799,0.1951989382505417,7.406632900238037,,
4,849,0.19915157556533813,8.221501350402832,,
4,899,0.2051684558391571,7.7234578132629395,,
4,939,,,0.7882482409477234,33.232933044433594
5,949,0.18232926726341248,7.734384536743164,,
5,999,0.16755467653274536,6.840028285980225,,
5,1049,0.16274413466453552,6.770427227020264,,
5,1099,0.1696384847164154,7.616138935089111,,
5,1127,,,0.6014670729637146,35.196617126464844
6,1149,0.15434639155864716,7.983119010925293,,
6,1199,0.1645459532737732,7.895016670227051,,
6,1249,0.17181268334388733,8.210246086120605,,
6,1299,0.16120822727680206,8.229229927062988,,
6,1315,,,0.2786913216114044,35.71266555786133
7,1349,0.17612303793430328,7.867227077484131,,
7,1399,0.16670618951320648,8.818474769592285,,
7,1449,0.16261626780033112,7.836005210876465,,
7,1499,0.16649463772773743,8.414508819580078,,
7,1503,,,0.28353962302207947,35.794151306152344
8,1549,0.14956100285053253,11.073782920837402,,
8,1599,0.1443815976381302,9.123026847839355,,
8,1649,0.1774183213710785,10.794358253479004,,
8,1691,,,0.3300583064556122,56.446807861328125
9,1699,0.1849103718996048,12.28265380859375,,
9,1749,0.20135855674743652,11.085104942321777,,
9,1799,0.198038250207901,12.938722610473633,,
9,1849,0.17056576907634735,12.367133140563965,,
9,1879,,,0.2837560772895813,55.336158752441406
