step,epoch,train/recon_error,train/loss,val/recon_error,val/loss
49,0,0.9218239188194275,1.9170823097229004,,
99,0,0.7122778296470642,2.0131640434265137,,
149,0,0.5806583166122437,2.603219509124756,,
183,0,,,0.6239869594573975,16.86091423034668
199,1,0.4604836404323578,3.4643137454986572,,
249,1,0.41822344064712524,4.135714530944824,,
299,1,0.3529220521450043,4.854682922363281,,
349,1,0.32542234659194946,5.071864604949951,,
367,1,,,0.6170647740364075,21.135007858276367
399,2,0.30837002396583557,5.773688316345215,,
449,2,0.3038695156574249,6.59339714050293,,
499,2,0.2658412456512451,7.6224565505981445,,
549,2,0.2791307866573334,8.24609088897705,,
551,2,,,0.7789462804794312,25.22838592529297
599,3,0.2692842483520508,10.243224143981934,,
649,3,0.31180694699287415,11.395788192749023,,
699,3,0.2622428834438324,12.683403015136719,,
735,3,,,0.7985978722572327,44.137332916259766
749,4,0.24498912692070007,14.436171531677246,,
799,4,0.2550426721572876,16.24363136291504,,
849,4,0.2912594676017761,18.012096405029297,,
899,4,0.2592260241508484,19.918092727661133,,
919,4,,,0.871224045753479,84.34225463867188
949,5,0.2434452921152115,21.31052017211914,,
999,5,0.22525455057621002,22.724346160888672,,
1049,5,0.2356581687927246,24.381210327148438,,
1099,5,0.21085353195667267,24.913530349731445,,
1103,5,,,0.8020114302635193,79.7506332397461
1149,6,0.20598189532756805,25.53725242614746,,
1199,6,0.19558437168598175,27.007638931274414,,
1249,6,0.1943606287240982,29.28874969482422,,
1287,6,,,0.907768964767456,143.7102508544922
1299,7,0.19217881560325623,30.233675003051758,,
1349,7,0.21433645486831665,33.27909851074219,,
1399,7,0.18821988999843597,35.743125915527344,,
1449,7,0.19251105189323425,40.012168884277344,,
1471,7,,,0.7488811612129211,194.20510864257812
1499,8,0.184487983584404,40.01186752319336,,
1549,8,0.18591637909412384,44.61484909057617,,
1599,8,0.18379206955432892,45.86560821533203,,
1649,8,0.18942366540431976,50.19356155395508,,
1655,8,,,0.6415396332740784,245.74559020996094
1699,9,0.18171517550945282,58.75723648071289,,
1749,9,0.19968831539154053,59.916072845458984,,
1799,9,0.17617954313755035,58.381919860839844,,
1839,9,,,0.8309070467948914,228.93927001953125
1849,10,0.1907031238079071,69.7259292602539,,
1899,10,0.17708297073841095,71.03248596191406,,
1949,10,0.18812206387519836,71.12873077392578,,
1999,10,0.20124389231204987,81.90504455566406,,
2023,10,,,0.3726911246776581,316.7423400878906
